RG667A,1324665868,2013/01/24,KW,347.2,383.2,398.4,368,318.4,304.8,311.2,307.2,312.8,348.8,382.4,376.8,350.4,312.8,299.2,300.8,304.8,310.4,353.6,388.8,377.6,336,318.4,312,327.2,336,380,425.6,432.8,400.8,376,360.8,371.2,376,407.2,429.6,420,385.6,353.6,336,341.6,372,406.4,415.2,399.2,376,352.8,352,392,428,450.4,451.2,396,364,358.4,364.8,385.6,433.6,433.6,423.2,404.8,368,354.4,360,371.2,410.4,432,423.2,384.8,354.4,348.8,350.4,362.4,414.4,439.2,440.8,388.8,354.4,344.8,350.4,360,402.4,433.6,421.6,390.4,347.2,340.8,339.2,340,378.4,414.4,416.8,376,331.2,322.4,320.8,D
RG667A,1324665868,2013/01/25,KW,317.6,334.4,386.4,393.6,380,360.8,330.4,311.2,299.2,296,332,377.6,384,382.4,338.4,299.2,298.4,296,323.2,371.2,404,402.4,368,334.4,328.8,336.8,338.4,380.8,432,450.4,454.4,414.4,365.6,353.6,364,410.4,443.2,441.6,398.4,365.6,352,380.8,448,460.8,452,453.6,455.2,456,453.6,458.4,458.4,462.4,466.4,484.8,482.4,482.4,530.4,545.6,448,456,500.8,536.8,484,444.8,494.4,536,504.8,422.4,473.6,516.8,442.4,425.6,469.6,472,471.2,459.2,460,460.8,456.8,452.8,457.6,450.4,455.2,456,452.8,462.4,459.2,446.4,436.8,435.2,441.6,439.2,436.8,427.2,433.6,420.8,D
RG667A,1324665868,2013/01/26,KW,422.4,402.4,384.8,372.8,374.4,368.8,374.4,369.6,380,402.4,415.2,411.2,408,398.4,360.8,332,333.6,336,345.6,385.6,413.6,420,418.4,405.6,368,344.8,340.8,359.2,414.4,448.8,457.6,453.6,414.4,379.2,377.6,417.6,465.6,468.8,469.6,470.4,471.2,460.8,469.6,467.2,459.2,459.2,455.2,464.8,460.8,455.2,457.6,458.4,459.2,454.4,452,450.4,454.4,459.2,460.8,461.6,460,466.4,468,471.2,469.6,470.4,460,463.2,467.2,465.6,451.2,405.6,371.2,360,375.2,381.6,414.4,448,440.8,421.6,392,369.6,359.2,368.8,372.8,412,437.6,433.6,412,383.2,358.4,351.2,340.8,368.8,409.6,420,D
RG667A,1324665868,2013/01/27,KW,402.4,372.8,321.6,291.2,288.8,326.4,359.2,368,378.4,343.2,312,296,306.4,325.6,349.6,356,346.4,301.6,273.6,287.2,311.2,323.2,357.6,355.2,352.8,347.2,303.2,294.4,300,333.6,343.2,388.8,400,400.8,384.8,356,356,357.6,380,432.8,452.8,447.2,433.6,394.4,375.2,382.4,412,447.2,446.4,445.6,443.2,439.2,413.6,392.8,381.6,388.8,410.4,436.8,439.2,430.4,435.2,435.2,431.2,437.6,432,435.2,399.2,361.6,356,348.8,343.2,342.4,347.2,350.4,388,388,386.4,356,320.8,315.2,340.8,347.2,344.8,336.8,337.6,330.4,336,336,328,324,328,327.2,320,302.4,307.2,302.4,D
RG667A,1324665868,2013/01/28,KW,296.8,301.6,300,296.8,295.2,292.8,300.8,296.8,292,292.8,293.6,295.2,292,294.4,295.2,293.6,295.2,295.2,303.2,300,300.8,301.6,305.6,321.6,315.2,320,327.2,330.4,333.6,336,344.8,352,373.6,377.6,356.8,358.4,355.2,356.8,358.4,349.6,383.2,415.2,421.6,391.2,354.4,340,341.6,362.4,410.4,425.6,424,423.2,381.6,344,343.2,380,419.2,434.4,423.2,429.6,418.4,383.2,357.6,352.8,356.8,356,362.4,405.6,416,381.6,342.4,331.2,333.6,328,325.6,344,377.6,381.6,383.2,358.4,321.6,320.8,322.4,351.2,368,387.2,380.8,353.6,315.2,299.2,318.4,326.4,346.4,342.4,343.2,337.6,D
RG667A,1324665868,2013/01/29,KW,292.8,277.6,280.8,294.4,297.6,297.6,294.4,296,288.8,295.2,292,293.6,293.6,292,292,293.6,294.4,290.4,293.6,315.2,324.8,318.4,314.4,316,323.2,328.8,334.4,340,348,354.4,351.2,360.8,360.8,357.6,365.6,358.4,356.8,356.8,349.6,352.8,350.4,339.2,370.4,400,416.8,388,382.4,352.8,341.6,342.4,346.4,399.2,435.2,433.6,436,429.6,431.2,397.6,366.4,365.6,365.6,416.8,436,436,432.8,434.4,434.4,426.4,370.4,338.4,338.4,339.2,345.6,394.4,409.6,409.6,365.6,343.2,334.4,330.4,334.4,357.6,396,423.2,386.4,359.2,328.8,324,321.6,333.6,374.4,403.2,372.8,324.8,291.2,277.6,D
RG667A,1324665868,2013/01/30,KW,293.6,332.8,360,352,325.6,287.2,267.2,273.6,296.8,320,331.2,328.8,333.6,297.6,266.4,262.4,281.6,311.2,332.8,337.6,336.8,332.8,300.8,288,302.4,335.2,365.6,390.4,392.8,372.8,348.8,332.8,356,396.8,422.4,421.6,414.4,419.2,392,363.2,350.4,360,393.6,448.8,456.8,461.6,452.8,455.2,446.4,422.4,404.8,410.4,424,464,458.4,452.8,465.6,464,459.2,468.8,472.8,506.4,515.2,411.2,453.6,471.2,524.8,435.2,436.8,463.2,460,467.2,462.4,464.8,455.2,441.6,449.6,444,413.6,372.8,359.2,364,391.2,436.8,440,442.4,440,408,360,340.8,346.4,360,396.8,413.6,400.8,390.4,D
RG667A,1324665868,2013/01/31,KW,336.8,320,325.6,315.2,332.8,361.6,374.4,342.4,300,286.4,281.6,283.2,304,337.6,364.8,344,300,279.2,282.4,288,295.2,332,368.8,392,352,332,330.4,317.6,361.6,411.2,444.8,423.2,386.4,374.4,372.8,393.6,432,450.4,452.8,455.2,459.2,456.8,466.4,461.6,461.6,458.4,462.4,466.4,458.4,449.6,444.8,453.6,450.4,453.6,464.8,468.8,464.8,456.8,452.8,472.8,512,514.4,412,464.8,485.6,515.2,401.6,457.6,472,463.2,459.2,462.4,464.8,455.2,458.4,451.2,449.6,440.8,441.6,444,442.4,443.2,399.2,364,352.8,363.2,383.2,415.2,429.6,427.2,408,357.6,340.8,331.2,329.6,357.6,D
RG667A,1324665868,2013/02/01,KW,396.8,394.4,394.4,347.2,309.6,303.2,314.4,322.4,360,385.6,364,345.6,309.6,292,292.8,288.8,324.8,369.6,386.4,358.4,321.6,304.8,310.4,314.4,344,392.8,416.8,409.6,386.4,368.8,370.4,367.2,396.8,442.4,457.6,476.8,469.6,472.8,454.4,431.2,422.4,416,435.2,461.6,484.8,477.6,472.8,468,470.4,472,468,460.8,459.2,467.2,457.6,460,468,466.4,459.2,471.2,469.6,508.8,465.6,417.6,459.2,462.4,456.8,459.2,457.6,463.2,456.8,460,456,460.8,454.4,456.8,449.6,463.2,431.2,382.4,364.8,390.4,420.8,448,452,451.2,436,395.2,361.6,360,355.2,410.4,426.4,422.4,400.8,348,D
RG667A,1324665868,2013/02/02,KW,327.2,330.4,336,350.4,394.4,410.4,396.8,374.4,338.4,324,320.8,316.8,348,387.2,401.6,375.2,333.6,312,305.6,306.4,326.4,365.6,400.8,394.4,368,336.8,335.2,340,348.8,384.8,422.4,437.6,412.8,394.4,364.8,364.8,364.8,374.4,420.8,459.2,462.4,441.6,411.2,380.8,379.2,385.6,439.2,468.8,476.8,464.8,464,470.4,462.4,465.6,455.2,460.8,462.4,464.8,460.8,458.4,473.6,468.8,471.2,471.2,470.4,467.2,468,468.8,472.8,461.6,449.6,399.2,381.6,380.8,389.6,434.4,450.4,454.4,453.6,419.2,385.6,378.4,379.2,378.4,426.4,448.8,455.2,444,391.2,374.4,357.6,358.4,354.4,373.6,404,414.4,D
